页码,页面标题,相对路径,用途/布局,状态,存在,SHA-256
2,高辐射环境会持续改变功率 MOS 器件的关键电学参数,02_背景与结构/ChatGPT Image 2026年7月23日 15_43_15.png,image_right,主选,True,b9397cdf014610e97f78cf33ace71b7aea4d2fbcb5073a518507bb0667cdd223
3,TCAD 将长周期辐照实验转化为可迭代、可解释的模型研究,02_背景与结构/ChatGPT Image 2026年7月23日 15_45_34.png,image_left,主选,True,af130c022ba0d8787430eb220f1777bf194f4811595372c8e4b7ec46620cdc04
6,研究闭环从真实测量延伸到两类器件的可追溯 TCAD 验证,02_背景与结构/route.png,full_image,主选,True,d998c537e1f2460641aaa0e5375ce800e833c710bcc2060b34ad6cdc6136e5cc
7,六只器件在七个剂量点进行同器件纵向跟踪,02_背景与结构/site_irradiator.jpg,timeline,主选,True,29156f31d8a94eda2e7729ccaf8cd566cf97fa5a1dd470480ed7055dbb13110a
7,六只器件在七个剂量点进行同器件纵向跟踪,02_背景与结构/site_room.jpg,timeline,主选,True,f9acecc8cfc97f263b4cb2c2c0ccca4e4738da64b7dd4d25d7ce810727935c8e
7,六只器件在七个剂量点进行同器件纵向跟踪,02_背景与结构/site_source.jpg,timeline,主选,True,610ff9274acf924e11246cbb31dcdccc4130db879741aa4ae1d83800379f6359
8,Trench 与 SGT 通过不同沟槽电极和氧化层布局控制内部电场,02_背景与结构/T.png,two_images,主选,True,376de3cacee15909f16b0d46f7545400aef9f093475368246a01cbd92a99d66d
8,Trench 与 SGT 通过不同沟槽电极和氧化层布局控制内部电场,02_背景与结构/S.png,two_images,主选,True,d0c9c79bad2edf7cbd744c8f821920dc25d61fcef862a8c2e015177b8f8a4aee
10,六只器件共同显示阈值负移与开启能力下降,03_实验结果/可编辑图表/transfer_six_device_gallery.png,full_image,主选,True,76ada515f6ba1423a1a6d78aebf0188ece06b4e50cb9acb4a1c4f43fdc08b709
11,S1：七剂量转移曲线显示稳定负移与开启区斜率下降,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_10.png,legacy,主选,True,ab8f029d81cc13407351617185f8d21dcf0b6cafcca5a62da629de0051efbab1
12,S2：阈值负移与 S1 接近，组内一致性较好,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_11.png,legacy,主选,True,3ba3b6055f27b0cee9d02c8a3cc24df46e0a2b8b11cee3cf5f47902841f48d72
13,S3：跨导下降略大，但阈值负移仍与 S 组高度一致,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_12.png,legacy,主选,True,fd9f315da35e1a6b0e391538cf09f48029ecd2ef0f4fee2f9913d87f2e6b6880
14,T1：阈值负移超过 10 V，亚阈区明显展开,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_13.png,legacy,主选,True,7b3364d1799071700b47b0919a30c3f8191992d772baf3514603ed0d0b6373f0
15,T2：跨导下降最大，阈值与 SS 保持 T 组共同趋势,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_14.png,legacy,主选,True,6123e26bc6ef2f07fc8bc09c1e386ce081e4ff71fcc1d661e911fc4ebcf7aa64
16,T3：三只 T 器件均进入约 1.6–1.7 V/dec 的高 SS 区间,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_15.png,legacy,主选,True,e1eec9b5f0ae88547a564ebd392c1278af2dcb82b8831f49b135700b124a6f2a
